"","X","Year","Company","Vineyard","Treatment","Rep","TreatmentAge","ShootCt","ClusterCt","FFNS","ShootMCane","ShootFtCane","ClusterMCane","ClusterFtCane","ShootCt.1","PreClusterCt","PostClusterCt","PercThin","FFNS.1","ShootMRow","ShootFtRow","ShootMCane.1","ShootFtCane.1","PreClMRow","PreClFtRow","PreClMCane","PreClFtCane","PostClMRow","PostClFtRow","PostClMCane","PostClFtCane","LeafN","LeafP","LeafK","LeafCa","LeafMg","LeafB","LeafCu","LeafFe","LeafMn","LeafZn","LeafNa","PetN","PetP","PetK","PetCa","PetMg","PetB","PetCu","PetFe","PetMn","PetZn","PetNa","TSS","pH","TA","ammoniaN","aaN","YAN","HarvestDate","ClusterCt.1","ClusterWt","Yield","KgMRow","LbFtRow","KgMCane","LbFtCane","ClusterMRow","ClusterFtRow","ClusterMCane.1","ClusterFtCane.1","ShootCt.2","PW","Canewt","PWMRow","PWFtRow","PWMCane","PWFtCane","ShootMRow.1","ShootFtRow.1","ShootMCane.2","ShootFtCane.2","Ravaz","anthos.std","tannins.std","phenolics.std","grid_num","ID","Y_Tavg","Y_Tmin","Y_Tmax","Y_Pr","GS_Tavg","GS_Tmin","GS_Tmax","GS_Pr","GS_Hug","GS_Gdd","DS_Pr","DS_Pr2mm","BB_Tavg","BB_Tmin","BB_Tmax","BB_Pr","BB_Tmin0C","FLO_Tavg","FLO_Tmin","FLO_Tmax","FLO_Pr","FLO_Pr2mm","FLO_Tmax35C","VER_Tavg","VER_Tmin","VER_Tmax","VER_Pr","VER_Tmax35C","H_Tavg","H_Tmin","H_Tmax","H_Pr","H_Pr2mm","H_Tmax35C","DEC_Y_Tavg","DEC_Y_Tmin","DEC_Y_Tmax","DEC_Y_Pr","DEC_GS_Tavg","DEC_GS_Tmin","DEC_GS_Tmax","DEC_GS_Pr","DEC_GS_Hug","DEC_GS_Gdd","DEC_DS_Pr","DEC_DS_Pr2mm","GS_Etp","BB_Etp","FLO_Etp","VER_Etp","H_Etp","DEC_GS_Etp","BB_B_Hu","B_V_Hu","V_H_Hu","BB_H_Hu","GS_XL_Hu","BB_B_nDays","B_V_nDays","V_H_nDays","BB_H_nDays","INI_Tavg","INI_Tmin","INI_Tmax","INI_Ra_net","INI_Pr","FLO_Ra_net","VER_Water_deficit","lon","lat","Rootstock"
"210",202,2016,"WintersHill","estate","2cls",2,3,18.6,28.8,1.56,12.24,3.72,18.95,5.76,18.6,30.8,33.4,4.23,1.81,12.24,3.72,12.24,3.72,20.26,6.16,20.26,6.16,21.97,6.68,21.97,6.68,2.16,0.14,1.95,2.34,0.1,24,3,94,167,33,0.01,0.58,0.07,3.5,1.87,0.29,22,2,22,252,102,0.03,23.7,3.44,7.1,72,171,230,42632,33.5,86.12,2.89,1.9,1.27,1.9,1.27,22.04,6.7,22.04,6.7,18.6,1.38,99.41,0.91,0.61,0.91,0.61,12.24,3.72,12.24,3.72,2.09,729,185,914,1307,1307,12.40701645,7.322215372,17.49181752,1359.883291,16.25238033,9.857976468,22.6467842,437.9672521,2800.124228,1345.650657,69.21922219,13,13.86858004,7.842571137,19.89458894,92.3293353,0,17.09000706,10.52075677,23.65925736,10.97381122,2,1,18.0791062,11.14431572,25.01389668,30.58273826,0,18.67530477,11.03461307,26.31599647,23.28430643,3,5,11.99254419,6.683071657,17.30201671,1118.441637,16.08336786,9.533826573,22.63290914,342.1147243,2781.696772,1339.358207,84.44932073,12.3,838.6392738,189.4862165,102.2790119,275.4017391,230.5345614,841.507174,262.1211214,536.2673257,468.4664578,1251.565148,1345.650657,62,65,54,179,18.22822075,10.19580906,26.26063245,22.79560203,15.37208045,428.9727533,244.8190009,-123.076282488064,45.2527768116861,"44_53"
"211",203,2017,"AtoZ","JacobHart","1cls",1,5,20.6,37.7,1.84,13.55,4.12,24.8,7.54,17.7,37.3,17.4,52.98,0.98,11.64,3.54,11.64,3.54,24.54,7.46,24.54,7.46,11.45,3.48,11.45,3.48,2.46,0.15,1.13,2.41,0.24,29.1,8,82,249,21.8,0.02,0.5,0.14,3.45,1.47,0.67,22.6,5,13,646,96.4,0.07,24.6,3.63,6.45,33.05,134.04,167.09,43010,16.2,147.16,2.38,1.57,1.05,1.57,1.05,10.66,3.24,10.66,3.24,17.6,1.39,88.99,0.92,0.61,0.92,0.61,11.58,3.52,11.58,3.52,1.71,763.4414,298.5263158,1061.967716,1199,1199,11.79760829,6.644317391,16.95089919,1469.282276,16.27567661,9.829110565,22.72224266,420.1372802,2824.403679,1381.457206,96.82337724,14,13.36946303,7.765510909,18.97341515,136.5728072,0,17.50854033,11.79283556,23.2242451,31.15440363,5,2,20.77005604,12.55180241,28.98830966,3.199227362,3,19.48427013,12.44659445,26.52194581,47.20530723,4,2,12.16294813,6.998493129,17.32740314,1169.756866,16.29372159,9.9755867,22.61185648,369.6536,2823.837805,1380.742286,97.84726867,14.3,845.1981471,207.0177223,97.25700831,304.2485764,162.6128589,836.2452796,255.1469151,680.8528904,379.3708053,1295.460587,1381.457206,67,63,40,168,17.19145471,11.11405489,23.26885453,19.5800644,12.79304099,402.1653847,301.049349,-123.01889337823,45.3414950932374,"3309"
"212",204,2017,"AtoZ","JacobHart","1cls",2,5,19.4,30.9,1.59,12.76,3.88,20.33,6.18,16.9,32.5,16,50.32,0.95,11.12,3.38,11.12,3.38,21.38,6.5,21.38,6.5,10.53,3.2,10.53,3.2,2.39,0.13,1.11,2.63,0.28,25,6,67,198,15.2,0.02,0.46,0.06,3.23,1.76,0.58,24.6,3,16,653,85.9,0.06,24.6,3.5,5.55,34.66,93.09,127.75,43010,15.4,116.49,1.79,1.18,0.79,1.18,0.79,10.13,3.08,10.13,3.08,17.2,1.1,75.31,0.72,0.48,0.72,0.48,11.32,3.44,11.32,3.44,1.64,1007.4487,317.4736842,1324.922384,1199,1199,11.79760829,6.644317391,16.95089919,1469.282276,16.27567661,9.829110565,22.72224266,420.1372802,2824.403679,1381.457206,96.82337724,14,13.36946303,7.765510909,18.97341515,136.5728072,0,17.50854033,11.79283556,23.2242451,31.15440363,5,2,20.77005604,12.55180241,28.98830966,3.199227362,3,19.48427013,12.44659445,26.52194581,47.20530723,4,2,12.16294813,6.998493129,17.32740314,1169.756866,16.29372159,9.9755867,22.61185648,369.6536,2823.837805,1380.742286,97.84726867,14.3,845.1981471,207.0177223,97.25700831,304.2485764,162.6128589,836.2452796,255.1469151,680.8528904,379.3708053,1295.460587,1381.457206,67,63,40,168,17.19145471,11.11405489,23.26885453,19.5800644,12.79304099,402.1653847,301.049349,-123.01889337823,45.3414950932374,"3309"
"213",205,2017,"AtoZ","JacobHart","1cls",3,5,22.1,74.1,1.6,14.54,4.42,48.75,14.82,16.6,33.5,16.7,49.78,1,10.92,3.32,10.92,3.32,22.04,6.7,22.04,6.7,10.99,3.34,10.99,3.34,2.6,0.14,1.11,2.73,0.26,25.9,6,67,207,22.5,0.02,0.54,0.07,3.3,1.93,0.53,23.1,3,14,522,148,0.07,24,3.6,5.4,35.8,127.88,163.68,43010,15.9,148.43,2.36,1.55,1.04,1.55,1.04,10.46,3.18,10.46,3.18,16.1,0.97,72.01,0.64,0.43,0.64,0.43,10.59,3.22,10.59,3.22,2.43,719.7386,258.5263158,978.2649158,1199,1199,11.79760829,6.644317391,16.95089919,1469.282276,16.27567661,9.829110565,22.72224266,420.1372802,2824.403679,1381.457206,96.82337724,14,13.36946303,7.765510909,18.97341515,136.5728072,0,17.50854033,11.79283556,23.2242451,31.15440363,5,2,20.77005604,12.55180241,28.98830966,3.199227362,3,19.48427013,12.44659445,26.52194581,47.20530723,4,2,12.16294813,6.998493129,17.32740314,1169.756866,16.29372159,9.9755867,22.61185648,369.6536,2823.837805,1380.742286,97.84726867,14.3,845.1981471,207.0177223,97.25700831,304.2485764,162.6128589,836.2452796,255.1469151,680.8528904,379.3708053,1295.460587,1381.457206,67,63,40,168,17.19145471,11.11405489,23.26885453,19.5800644,12.79304099,402.1653847,301.049349,-123.01889337823,45.3414950932374,"3309"
"214",206,2017,"AtoZ","JacobHart","2cls",1,6,21.9,39.8,1.84,14.41,4.38,26.18,7.96,17.2,38.2,31.4,17.48,1.83,11.32,3.44,11.32,3.44,25.13,7.64,25.13,7.64,20.66,6.28,20.66,6.28,2.5,0.15,1.02,2.95,0.28,25.8,11,90,340,31.1,0.02,0.48,0.15,3.66,1.81,0.64,21,4,17,818,128,0.09,23.8,3.3,6.9,34.26,124.8,159.06,43010,22.5,151.38,3.41,2.24,1.5,2.24,1.5,14.8,4.5,14.8,4.5,16.8,1.18,80.57,0.78,0.52,0.78,0.52,11.05,3.36,11.05,3.36,2.88,668.752,237.4736842,906.2256842,1199,1199,11.79760829,6.644317391,16.95089919,1469.282276,16.27567661,9.829110565,22.72224266,420.1372802,2824.403679,1381.457206,96.82337724,14,13.36946303,7.765510909,18.97341515,136.5728072,0,17.50854033,11.79283556,23.2242451,31.15440363,5,2,20.77005604,12.55180241,28.98830966,3.199227362,3,19.48427013,12.44659445,26.52194581,47.20530723,4,2,12.16294813,6.998493129,17.32740314,1169.756866,16.29372159,9.9755867,22.61185648,369.6536,2823.837805,1380.742286,97.84726867,14.3,845.1981471,207.0177223,97.25700831,304.2485764,162.6128589,836.2452796,255.1469151,680.8528904,379.3708053,1295.460587,1381.457206,67,63,40,168,17.19145471,11.11405489,23.26885453,19.5800644,12.79304099,402.1653847,301.049349,-123.01889337823,45.3414950932374,"3309"
"215",207,2017,"AtoZ","JacobHart","2cls",2,6,15.3,23.2,1.52,10.07,3.06,15.26,4.64,13.3,24.1,22.4,6.67,1.69,8.75,2.66,8.75,2.66,15.86,4.82,15.86,4.82,14.74,4.48,14.74,4.48,2.43,0.13,1.11,2.57,0.27,29.3,6,65,215,17.1,0.02,0.48,0.09,3.04,1.81,0.54,23.4,5,17,586,99.8,0.06,24.6,3.4,5.55,27.33,88.54,115.87,43010,17,122.88,2.09,1.37,0.92,1.37,0.92,11.18,3.4,11.18,3.4,13.2,0.85,78.12,0.56,0.38,0.56,0.38,8.68,2.64,8.68,2.64,2.45,1087.5705,357.4736842,1445.044184,1199,1199,11.79760829,6.644317391,16.95089919,1469.282276,16.27567661,9.829110565,22.72224266,420.1372802,2824.403679,1381.457206,96.82337724,14,13.36946303,7.765510909,18.97341515,136.5728072,0,17.50854033,11.79283556,23.2242451,31.15440363,5,2,20.77005604,12.55180241,28.98830966,3.199227362,3,19.48427013,12.44659445,26.52194581,47.20530723,4,2,12.16294813,6.998493129,17.32740314,1169.756866,16.29372159,9.9755867,22.61185648,369.6536,2823.837805,1380.742286,97.84726867,14.3,845.1981471,207.0177223,97.25700831,304.2485764,162.6128589,836.2452796,255.1469151,680.8528904,379.3708053,1295.460587,1381.457206,67,63,40,168,17.19145471,11.11405489,23.26885453,19.5800644,12.79304099,402.1653847,301.049349,-123.01889337823,45.3414950932374,"3309"
"216",208,2017,"AtoZ","JacobHart","2cls",3,6,20.9,34,1.62,13.75,4.18,22.37,6.8,19.1,37,31.5,13.74,1.65,12.57,3.82,12.57,3.82,24.34,7.4,24.34,7.4,20.72,6.3,20.72,6.3,2.47,0.13,0.88,2.63,0.26,19.2,6,68,175,19.3,0.01,0.51,0.07,3.19,1.63,0.56,18.6,3,23,400,113,0.06,22.9,3.32,6.6,22.03,77.7,99.73,43010,25.9,129.77,3.36,2.21,1.48,2.21,1.48,17.04,5.18,17.04,5.18,18.1,1.17,74.43,0.77,0.51,0.77,0.51,11.91,3.62,11.91,3.62,2.88,843.5632,231.1578947,1074.721095,1199,1199,11.79760829,6.644317391,16.95089919,1469.282276,16.27567661,9.829110565,22.72224266,420.1372802,2824.403679,1381.457206,96.82337724,14,13.36946303,7.765510909,18.97341515,136.5728072,0,17.50854033,11.79283556,23.2242451,31.15440363,5,2,20.77005604,12.55180241,28.98830966,3.199227362,3,19.48427013,12.44659445,26.52194581,47.20530723,4,2,12.16294813,6.998493129,17.32740314,1169.756866,16.29372159,9.9755867,22.61185648,369.6536,2823.837805,1380.742286,97.84726867,14.3,845.1981471,207.0177223,97.25700831,304.2485764,162.6128589,836.2452796,255.1469151,680.8528904,379.3708053,1295.460587,1381.457206,67,63,40,168,17.19145471,11.11405489,23.26885453,19.5800644,12.79304099,402.1653847,301.049349,-123.01889337823,45.3414950932374,"3309"
"217",209,2017,"Airlie","estate","1cls",1,5,34.8,47.3,1.37,9.51,2.9,12.92,3.94,38.53,55.47,38.53,30.71,1.05,21.05,6.42,10.53,3.21,30.31,9.25,15.16,4.62,21.05,6.42,10.53,3.21,2.42,0.15,0.65,2.3,0.38,35.5,8,57,136,20.6,0.01,0.48,0.08,0.67,1.53,0.91,30.1,6,53,231,27.9,0.02,23.8,3.04,6.9,43.03,94.43,137.45,43026,36.4,79.75,2.88,1.58,1.06,0.79,0.53,19.89,6.07,9.95,3.03,36.9,0.72,22.42,0.39,0.26,0.2,0.13,20.16,6.15,10.08,3.08,4.03,989.96758,452.2105263,1442.178106,1625,1625,11.36315613,5.527863474,17.19844878,1634.898479,15.63047339,8.277189162,22.98375763,466.832998,2720.222952,1261.785806,78.61851867,11,12.77369874,6.400184106,19.14721337,140.4315431,0,17.92320396,10.62783344,25.21857448,8.930394069,2,1,20.3492158,10.96892344,29.72950817,5.070417967,3,17.82652973,9.982280747,25.67077871,68.98311204,7,3,11.65481651,5.734579614,17.57505341,1268.687259,15.6285852,8.341195654,22.91597475,370.1108488,2714.084105,1249.506121,84.44511681,12.7,867.5535956,218.5956349,108.3899592,314.7707295,168.5413474,860.6049488,250.780633,643.8422639,344.367308,1219.508189,1261.785806,69,63,44,174,16.23704865,8.748780617,23.72531669,22.01168521,14.57961275,457.9789518,309.7003115,-123.348448162186,44.7264128995417,"OWNR"
"218",210,2017,"Airlie","estate","NoThin",1,5,41.9,49.5,1.18,11.45,3.49,13.52,4.13,39.7,58.5,58.5,0,1.46,21.69,6.62,10.85,3.31,31.97,9.75,15.98,4.88,31.97,9.75,15.98,4.88,1.88,0.13,0.61,2.41,0.43,39.1,9,61,183,24.1,0.01,0.49,0.07,0.83,1.51,0.82,28.9,7,23,355,29.2,0.02,20.9,2.85,7.95,42.34,90.81,133.15,43026,58.8,81.04,5.1,2.79,1.87,1.39,0.94,32.13,9.8,16.07,4.9,42.7,0.83,21.35,0.45,0.3,0.23,0.15,23.33,7.12,11.67,3.56,6.16,810.05772,321.6842105,1131.741931,1625,1625,11.36315613,5.527863474,17.19844878,1634.898479,15.63047339,8.277189162,22.98375763,466.832998,2720.222952,1261.785806,78.61851867,11,12.77369874,6.400184106,19.14721337,140.4315431,0,17.92320396,10.62783344,25.21857448,8.930394069,2,1,20.3492158,10.96892344,29.72950817,5.070417967,3,17.82652973,9.982280747,25.67077871,68.98311204,7,3,11.65481651,5.734579614,17.57505341,1268.687259,15.6285852,8.341195654,22.91597475,370.1108488,2714.084105,1249.506121,84.44511681,12.7,867.5535956,218.5956349,108.3899592,314.7707295,168.5413474,860.6049488,250.780633,643.8422639,344.367308,1219.508189,1261.785806,69,63,44,174,16.23704865,8.748780617,23.72531669,22.01168521,14.57961275,457.9789518,309.7003115,-123.348448162186,44.7264128995417,"OWNR"
"219",211,2017,"BH","Justice","1cls",1,7,12,15.4,1.29,13.19,4,16.92,5.13,11.4,15.2,10,33.6,0.88,12.53,3.8,12.53,3.8,16.7,5.07,16.7,5.07,10.99,3.33,10.99,3.33,2.16,0.16,1.09,2.17,0.17,17.2,12,83,239,13.4,0.02,0.4,0.22,1.23,1.44,0.63,18.6,4,13,562,46.3,0.02,24.1,3.55,6.9,35.24,55.48,90.72,43010,10,103,1.03,1.13,0.76,1.13,0.76,10.99,3.33,10.99,3.33,8.1,0.32,40.25,0.35,0.23,0.35,0.23,8.9,2.7,8.9,2.7,3.24,922.59243,325.8947368,1248.487167,1412,1412,11.46066316,6.007373189,16.91395314,1463.961589,15.81856813,8.907584576,22.72955168,414.64328,2734.366241,1299.380105,82.57999334,13,13.00205447,7.125062493,18.87904645,131.5779027,0,17.72848714,10.93197893,24.52499535,10.21790833,2,2,20.48611585,11.57891779,29.39331392,4.797827342,3,18.5315238,11.14078207,25.92226553,63.95416382,6,3,11.77694414,6.319003889,17.23488439,1185.504283,15.83464084,9.073908371,22.5953733,381.3785075,2725.56416,1291.673664,101.33246,14.8,853.9919224,207.9173538,104.5924083,309.7675489,162.9064517,844.0893253,248.2514485,651.9570606,358.3239998,1240.815276,1299.380105,67,63,42,170,16.57642085,9.834833015,23.31800868,20.77337856,17.62945188,441.4732595,304.9697216,-123.149440267382,45.033901954576,"SHWM"
"220",212,2017,"BH","Justice","1cls",2,7,10.8,14.6,1.35,11.87,3.6,16.04,4.87,11.4,15.8,10.3,34.93,0.92,12.53,3.8,12.53,3.8,17.36,5.27,17.36,5.27,11.32,3.43,11.32,3.43,2.35,0.13,1.13,2.47,0.28,14,13,86,325,19.9,0.01,0.5,0.09,3.04,1.23,0.66,17.9,4,13,619,105,0.02,23.1,3.57,6.45,32.94,71.41,104.35,43010,10.3,92.23,0.95,1.04,0.7,1.04,0.7,11.32,3.43,11.32,3.43,10,0.57,57.86,0.62,0.42,0.62,0.42,10.99,3.33,10.99,3.33,1.68,1028.20753,365.8947368,1394.102267,1412,1412,11.46066316,6.007373189,16.91395314,1463.961589,15.81856813,8.907584576,22.72955168,414.64328,2734.366241,1299.380105,82.57999334,13,13.00205447,7.125062493,18.87904645,131.5779027,0,17.72848714,10.93197893,24.52499535,10.21790833,2,2,20.48611585,11.57891779,29.39331392,4.797827342,3,18.5315238,11.14078207,25.92226553,63.95416382,6,3,11.77694414,6.319003889,17.23488439,1185.504283,15.83464084,9.073908371,22.5953733,381.3785075,2725.56416,1291.673664,101.33246,14.8,853.9919224,207.9173538,104.5924083,309.7675489,162.9064517,844.0893253,248.2514485,651.9570606,358.3239998,1240.815276,1299.380105,67,63,42,170,16.57642085,9.834833015,23.31800868,20.77337856,17.62945188,441.4732595,304.9697216,-123.149440267382,45.033901954576,"SHWM"
"221",213,2017,"BH","Justice","1cls",3,7,9.7,11.7,1.18,10.66,3.23,12.86,3.9,10.6,12.3,8.5,29.8,0.79,11.65,3.53,11.65,3.53,13.52,4.1,13.52,4.1,9.34,2.83,9.34,2.83,1.94,0.15,1.14,1.79,0.19,22.4,9,76,269,10.9,0.01,0.41,0.13,1.82,1.18,0.47,20.9,5,13,651,40.8,0.02,24.1,3.42,7.05,21.29,61.77,83.06,43010,7.9,88.61,0.7,0.77,0.51,0.77,0.51,8.68,2.63,8.68,2.63,6.4,0.3,47.58,0.32,0.22,0.32,0.22,7.03,2.13,7.03,2.13,2.37,1028.20753,359.5789474,1387.786477,1412,1412,11.46066316,6.007373189,16.91395314,1463.961589,15.81856813,8.907584576,22.72955168,414.64328,2734.366241,1299.380105,82.57999334,13,13.00205447,7.125062493,18.87904645,131.5779027,0,17.72848714,10.93197893,24.52499535,10.21790833,2,2,20.48611585,11.57891779,29.39331392,4.797827342,3,18.5315238,11.14078207,25.92226553,63.95416382,6,3,11.77694414,6.319003889,17.23488439,1185.504283,15.83464084,9.073908371,22.5953733,381.3785075,2725.56416,1291.673664,101.33246,14.8,853.9919224,207.9173538,104.5924083,309.7675489,162.9064517,844.0893253,248.2514485,651.9570606,358.3239998,1240.815276,1299.380105,67,63,42,170,16.57642085,9.834833015,23.31800868,20.77337856,17.62945188,441.4732595,304.9697216,-123.149440267382,45.033901954576,"SHWM"
"222",214,2017,"BH","Justice","NoThin",1,7,11.1,14.2,1.3,12.2,3.7,15.6,4.73,11.1,14.2,14.2,0,1.3,12.2,3.7,12.2,3.7,15.6,4.73,15.6,4.73,15.6,4.73,15.6,4.73,2.38,0.17,1.34,2.12,0.16,16.8,13,83,259,20.9,0.01,0.46,0.19,3.06,1.31,0.51,18.7,4,13,477,68.2,0.02,23.5,3.48,6.6,37.33,76.22,113.55,43010,17.3,89.6,1.55,1.7,1.14,1.7,1.14,19.01,5.77,19.01,5.77,7.6,0.41,55.14,0.45,0.3,0.45,0.3,8.35,2.53,8.35,2.53,3.8,1111.97123,275.3684211,1387.339651,1412,1412,11.46066316,6.007373189,16.91395314,1463.961589,15.81856813,8.907584576,22.72955168,414.64328,2734.366241,1299.380105,82.57999334,13,13.00205447,7.125062493,18.87904645,131.5779027,0,17.72848714,10.93197893,24.52499535,10.21790833,2,2,20.48611585,11.57891779,29.39331392,4.797827342,3,18.5315238,11.14078207,25.92226553,63.95416382,6,3,11.77694414,6.319003889,17.23488439,1185.504283,15.83464084,9.073908371,22.5953733,381.3785075,2725.56416,1291.673664,101.33246,14.8,853.9919224,207.9173538,104.5924083,309.7675489,162.9064517,844.0893253,248.2514485,651.9570606,358.3239998,1240.815276,1299.380105,67,63,42,170,16.57642085,9.834833015,23.31800868,20.77337856,17.62945188,441.4732595,304.9697216,-123.149440267382,45.033901954576,"SHWM"
"223",215,2017,"BH","Justice","NoThin",2,7,9.8,12.1,1.18,10.77,3.27,13.3,4.03,9.8,12.1,12.1,0,1.18,10.77,3.27,10.77,3.27,13.3,4.03,13.3,4.03,13.3,4.03,13.3,4.03,2.53,0.19,1.16,2.11,0.16,16.6,13,97,228,16.3,0.02,0.46,0.25,3,1.4,0.52,19.5,6,16,524,87.6,0.02,22.5,3.44,7.35,54.57,84.52,139.09,43010,16.9,118.34,2,2.2,1.47,2.2,1.47,18.57,5.63,18.57,5.63,8.8,0.5,58.02,0.55,0.37,0.55,0.37,9.67,2.93,9.67,2.93,4.01,806.78001,250.1052632,1056.885273,1412,1412,11.46066316,6.007373189,16.91395314,1463.961589,15.81856813,8.907584576,22.72955168,414.64328,2734.366241,1299.380105,82.57999334,13,13.00205447,7.125062493,18.87904645,131.5779027,0,17.72848714,10.93197893,24.52499535,10.21790833,2,2,20.48611585,11.57891779,29.39331392,4.797827342,3,18.5315238,11.14078207,25.92226553,63.95416382,6,3,11.77694414,6.319003889,17.23488439,1185.504283,15.83464084,9.073908371,22.5953733,381.3785075,2725.56416,1291.673664,101.33246,14.8,853.9919224,207.9173538,104.5924083,309.7675489,162.9064517,844.0893253,248.2514485,651.9570606,358.3239998,1240.815276,1299.380105,67,63,42,170,16.57642085,9.834833015,23.31800868,20.77337856,17.62945188,441.4732595,304.9697216,-123.149440267382,45.033901954576,"SHWM"
"224",216,2017,"BH","Justice","NoThin",3,7,9.6,13.1,1.38,10.55,3.2,14.4,4.37,9.6,13.1,13.1,0,1.38,10.55,3.2,10.55,3.2,14.4,4.37,14.4,4.37,14.4,4.37,14.4,4.37,2.13,0.15,1.27,2.11,0.15,21.2,10,87,266,13.5,0.01,0.42,0.09,2.57,1.31,0.44,20.9,6,12,592,54,0.02,23.6,3.41,6.75,9.9,39.55,49.45,43010,17.5,108.57,1.9,2.09,1.4,2.09,1.4,19.23,5.83,19.23,5.83,6.8,0.3,44.7,0.32,0.22,0.32,0.22,7.47,2.27,7.47,2.27,6.44,1102.1381,330.1052632,1432.243363,1412,1412,11.46066316,6.007373189,16.91395314,1463.961589,15.81856813,8.907584576,22.72955168,414.64328,2734.366241,1299.380105,82.57999334,13,13.00205447,7.125062493,18.87904645,131.5779027,0,17.72848714,10.93197893,24.52499535,10.21790833,2,2,20.48611585,11.57891779,29.39331392,4.797827342,3,18.5315238,11.14078207,25.92226553,63.95416382,6,3,11.77694414,6.319003889,17.23488439,1185.504283,15.83464084,9.073908371,22.5953733,381.3785075,2725.56416,1291.673664,101.33246,14.8,853.9919224,207.9173538,104.5924083,309.7675489,162.9064517,844.0893253,248.2514485,651.9570606,358.3239998,1240.815276,1299.380105,67,63,42,170,16.57642085,9.834833015,23.31800868,20.77337856,17.62945188,441.4732595,304.9697216,-123.149440267382,45.033901954576,"SHWM"
"225",217,2017,"DomSer","JerHill","1cls",1,5,14.9,28.6,1.9,9.8,2.98,18.82,5.72,14.6,30.5,14.1,53.32,0.97,9.61,2.92,9.61,2.92,20.07,6.1,20.07,6.1,9.28,2.82,9.28,2.82,1.63,0.41,0.88,2.92,2.92,60.1,7,171,324,38.8,0.01,0.38,0.6,1.14,2.49,0.72,26.5,4.07,37.5,650,58.4,0.05,23.5,3.16,6,6.58,44.62,51.2,43022,15.25,111.44,1.68,1.11,0.74,1.11,0.74,10.03,3.05,10.03,3.05,15.75,0.46,35.02,0.3,0.2,0.3,0.2,10.36,3.15,10.36,3.15,3.65,900.01265,368.6315789,1268.644229,1303,1303,11.81644668,6.123285737,17.50960762,1333.832949,16.08204981,8.908466528,23.2556331,379.5068645,2842.681054,1341.016506,69.93567137,11,13.01229553,7.037693945,18.98689712,143.9070341,0,17.34017144,10.958675,23.72166787,20.15660758,3,2,20.55735695,11.38366617,29.73104772,3.894920211,4,19.28773245,11.20549871,27.36996619,47.63197345,4,3,12.10019369,6.428065959,17.77232143,1078.407926,16.06806702,9.07833945,23.05779458,343.1925078,2823.170141,1335.047993,86.48647041,12.6,877.4237154,215.3308012,101.0946852,318.5136869,174.3570687,864.4133656,243.7620362,665.6362417,380.7970304,1270.436788,1341.016506,69,63,41,171,16.93850547,10.1813713,23.69563963,20.66900348,14.62136187,424.9683847,314.6187667,-123.095906588567,45.081411793479,"101_14"
"226",218,2017,"DomSer","JerHill","1cls",2,5,13.7,26.4,1.95,9.01,2.74,17.37,5.28,13.8,26.9,13.5,48.96,0.99,9.08,2.76,9.08,2.76,17.7,5.38,17.7,5.38,8.88,2.7,8.88,2.7,1.72,0.43,0.88,3.1,3.1,50.8,9,142,288,29.8,0.01,0.38,0.61,1.89,2.33,0.66,26.2,11.5,25.2,548,57.1,0.03,23.9,3.27,5.4,6.04,41.41,47.46,43022,15.13,125.67,1.9,1.25,0.84,1.25,0.84,9.95,3.03,9.95,3.03,14.63,0.53,42.25,0.35,0.23,0.35,0.23,9.62,2.93,9.62,2.93,3.6,778.009,318.1052632,1096.114263,1303,1303,11.81644668,6.123285737,17.50960762,1333.832949,16.08204981,8.908466528,23.2556331,379.5068645,2842.681054,1341.016506,69.93567137,11,13.01229553,7.037693945,18.98689712,143.9070341,0,17.34017144,10.958675,23.72166787,20.15660758,3,2,20.55735695,11.38366617,29.73104772,3.894920211,4,19.28773245,11.20549871,27.36996619,47.63197345,4,3,12.10019369,6.428065959,17.77232143,1078.407926,16.06806702,9.07833945,23.05779458,343.1925078,2823.170141,1335.047993,86.48647041,12.6,877.4237154,215.3308012,101.0946852,318.5136869,174.3570687,864.4133656,243.7620362,665.6362417,380.7970304,1270.436788,1341.016506,69,63,41,171,16.93850547,10.1813713,23.69563963,20.66900348,14.62136187,424.9683847,314.6187667,-123.095906588567,45.081411793479,"101_14"
